Fcilty_typ,Address,Xcoord,Ycoord
BoA ATM,"1245 Worcester Rd
Natick MA 01760",-71.38476,-41.181044
BoA ATM,"1245 Worcester Rd
Natick MA 01760",-71.38594,-38.238045
BoA ATM,"152 West Central St
Natick MA 01760",-71.3775,-38.197385
BoA ATM,"21 Main St
Natick MA 01760",-71.34764,-19.298838
BoA ATM,"945 Worcester Rd Rte 9
Natick MA 01760",-71.36316,-19.25945453
BoA ATM,"145 Lincoln Rd
Lincoln MA 01773",-71.32476,-36.121221
BoA ATM,"118 Great Rd
Stow MA 01775",-71.48609,-36.081193
BoA ATM,"22 Union Ave
Sudbury MA 01776",-71.42195,-38.106913
BoA ATM,"23 Union Ave
Sudbury MA 01776",-71.42268,-41.43824
BoA ATM,"525 Boston Post Rd
Sudbury MA 01776",-71.42992,-42.832723
BoA ATM,"175 Commonwealth Ave
Wayland MA 01778",-71.36294,-42.975709
BoA ATM,"179 Commonwealth Ave
Wayland MA 01778",-71.36288,-42.882189
BoA ATM,"289 Boston Post Rd
Wayland MA 01778",-71.3644,-35.117087
BoA ATM,"186 Cambridge St
Woburn MA 01801",-71.17866,-42.866407
BoA ATM,"2 Cummings Park
Woburn MA 01801",-71.12438,-19.572817
BoA ATM,"300 Mishawum Rd
Woburn MA 01801",-71.13115,-37.826265
BoA ATM,"318 Montvale Ave
Woburn MA 01801",-71.12001,-33.13431983
BoA ATM,"412 Main St
Woburn MA 01801",-71.1515,-20.00192125
BoA ATM,"11 Center St
Burlington MA 01803",-71.19569,-34.31099923
BoA ATM,"201 Middlesex Turnpike
Burlington MA 01803",-71.2255,-32.25034
BoA ATM,"43 Middlesex Turnpike
Burlington MA 01803",-71.2086,-33.834412
BoA ATM,"75 Middlesex Turnpike
Burlington MA 01803",-71.21382,-35.237818
BoA ATM,"75 Middlesex Turnpike
Burlington MA 01803",-71.21395,-35.416214
BoA ATM,"23 Main St
Andover MA 01810",-71.14043,-35.345735
BoA ATM,"429 Lowell St
Andover MA 01810",-71.20347,-33.284492
BoA ATM,"Chapel Ave
Andover MA 01810",-71.13255,-36.236039
BoA ATM,"160 Lexington Rd
Billerica MA 01821",-71.25599,-35.279986
BoA ATM,"199 Boston Rd
Billerica MA 01821",-71.28907,-35.184555
BoA ATM,"464 Boston Rd
Billerica MA 01821",-71.26767,-21.13838
BoA ATM,"480 Boston Rd
Billerica MA 01821",-71.26388,-35.709362
BoA ATM,"880 Boston Rd
Billerica MA 01821",-71.22532,-30.977253
BoA ATM,"15 Drum Hill Rd
Chelmsford MA 01824",-71.36501,-33.717119
BoA ATM,"2 Summer St
Chelmsford MA 01824",-71.35066,-34.476913
BoA ATM,"1734 Lakeview Ave
Dracut MA 01826",-71.34174,-35.356925
BoA ATM,"191 Merrimack St
Haverhill MA 01830",-71.08181,-23.376918
BoA ATM,"231 Lincoln Ave
Haverhill MA 01830",-71.03838,-23.35196747
BoA ATM,"5 Plaistow Rd
Haverhill MA 01830",-71.10303,-33.699002
BoA ATM,"786 River St
Haverill MA 01830",-71.11484,-34.874156
BoA ATM,"9 Ferry St
Haverhill MA 01830",-71.07511,-33.752039
BoA ATM,"38 East Main St
Georgetown MA 01833",-70.9901,-34.05525719
BoA ATM,"257 Essex St
Lawrence MA 01840",-71.16042,-33.600902
BoA ATM,"67 Winthrop Ave
Lawrence MA 01843",-71.1516,-34.069712
BoA ATM,"190 Haverhill St
Methuen MA 01844",-71.20078,-34.56228517
BoA ATM,"230 Pleasant St
Methuen MA 01844",-71.17053,-32.254617
BoA ATM,"246 Broadway
Methuen MA 01844",-71.18566,-34.424834
BoA ATM,"154 Main St
North Andover MA 01845",-71.1299,-33.77007
BoA ATM,"525 Turnpike St (rte 114)
North Andover MA 01845",-71.11709,-31.091342
BoA ATM,"Route 114 & 133
North Andover MA 01845",-71.12679,-33.919935
BoA ATM,"166 Central St
Lowell MA 01850",-71.30827,-33.868529
BoA ATM,"1815 Middlesex St
Lowell MA 01850",-71.35622,-33.817487
BoA ATM,"501 Bridge St
Lowell MA 01850",-71.30284,-28.766761
BoA ATM,"724 Chelmsford St Suite 6
Lowell MA 01851",-71.32371,-33.32607645
BoA ATM,"300 Arcand Dr
Lowell MA 01852",-71.31326,-32.291143
BoA ATM,"1 University Ave
Lowell MA 01854",-71.32529,-32.536809
BoA ATM,"100 Pawtucket St
Lowell MA 01854",-71.32077,-32.051368
BoA ATM,"61 Wilder St
Lowell MA 01854",-71.33405,-31.814814
BoA ATM,"Route 110
Merrimac MA 01860",-71.00262,-31.741759
BoA ATM,"10-20 Main St
North Reading MA 01864",-71.10859,-31.877945
BoA ATM,"172 Park St
North Reading MA 01864",-71.08098,-31.94711
BoA ATM,"235 Main St
North Reading MA 01864",-71.11587,-32.0366794
BoA ATM,"20 Walkers Brook Dr
Reading MA 01867",-71.09433,-31.955185
BoA ATM,"294 Main St
Reading MA 01867",-71.10389,-31.894904
BoA ATM,"580 Main St
Reading MA 01867",-71.10349,-32.01906404
BoA ATM,"1899 Main St
Tewksbury MA 01876",-71.2053,-31.890743
BoA ATM,"986 Main St
Tewksbury MA 01876",-71.2337,-32.151299
BoA ATM,"440 Middlesex Rd
Tyngsboro MA 01879",-71.44057,-35.025945
BoA ATM,"2 Smith St
Wakefield MA 01880",-71.50286,-30.745425
BoA ATM,"190 Littleton Rd
Westford MA 01886",-71.42489,-12.46373121
BoA ATM,"60 Brookside Rd
Westford MA 01886",-71.41095,-12.377027
BoA ATM,"223 Lowell St
Wilmington MA 01887",-71.14782,-12.480801
BoA ATM,"390 Main St
Wilmington MA 01887",-71.17417,-23.698858
BoA ATM,"275 Cambridge St
Winchester MA 01890",-71.15901,-34.720184
BoA ATM,"35 Church St
Winchester MA 01890",-71.13896,-33.026659
BoA ATM,"695 Main St
Winchester MA 01890",-71.1379,-32.493718
BoA ATM,"1 State St
Lynn MA 01901",-70.94912,-33.1761
BoA ATM,"567 Lynnway
Lynn MA 01901",-70.95977,-35.142057
BoA ATM,"140 Boston St
Lynn MA 01904",-70.95827,-34.87722
BoA ATM,"1093 Broadway
Saugus MA 01906",-71.02645,-35.013446
BoA ATM,"948 Broadway/Rt 1
Saugus MA 01906",-71.02472,-34.924357
BoA ATM,"450 Paradise Rd
Swampscott MA 01907",-70.90268,-34.715725
BoA ATM,"165 Cabot St
Beverly MA 01915",-70.87919,-38.150358
BoA ATM,"17 Enon St
Beverly MA 01915",-70.88425,-37.685927
BoA ATM,"215 Essex St Route 22
Beverly MA 01915",-70.86682,-37.902721
BoA ATM,"446 Rantoul St
Beverly MA 01915",-70.88177,-36.124839
BoA ATM,"301 Newbury St
Danvers MA 01923",-70.96432,-37.828011
BoA ATM,"81 Elm St
Danvers MA 01923",-70.93775,-37.770177
BoA ATM,"1 Main St
Gloucester MA 01930",-70.666,-37.716657
BoA ATM,"One Post Office Square
Lynnfield MA 01940",-71.01351,-38.354983
BoA ATM,"40 Beach St
Manchester MA 01944",-70.76971,-37.679886
BoA ATM,"66 Pleasant St
Marblehead MA 01945",-70.85399,-37.766646
BoA ATM,"156 South Main St
Middleton MA 01949",-71.00597,-37.818571
BoA ATM,"2 State St
Newburyport MA 01950",-70.86986,-37.814496
BoA ATM,"45 Storey Ave
Newburyport MA 01950",-70.90566,-37.742098
BoA ATM,"50 Water St
Newburyport MA 01950",-70.86604,-37.812421
BoA ATM,"195 Elm St
Salisbury MA 01952",-70.89552,-33.036597
BoA ATM,"136 Newbury St/route 1
Peabody MA 01960",-70.98934,-31.965845
BoA ATM,"150 Main St
Peabody MA 01960",-70.91994,-34.485522
BoA ATM,"189 Andover St
Peabody MA 01960",-70.94143,
BoA ATM,"300 Andover St
Peabody MA 01960",-70.95485,
BoA ATM,"637 Lowell St
Peabody MA 01960",-71.00134,
BoA ATM,"225 Newburyport Turnpike
Rowley MA 01969",-70.906,
BoA ATM,"193 Washington St
Salem MA 01970",-70.89503,
BoA ATM,"21 Paradise Rd
Salem MA 01970",-70.89892,
BoA ATM,"227 Highland Ave
Salem MA 01970",-70.92148,
BoA ATM,"352 Lafayette St
Salem MA 01970",-70.89047,
BoA ATM,"15 Walnut Rd
Hamilton MA 01982",-70.87352,
BoA ATM,"253 Boston St
Topsfield MA 01983",-70.94212,
BoA ATM,"2 South Main St
Bellingham MA 02019",-71.49001,
BoA ATM,"290 Hartford Avenue
Bellingham MA 02019",-71.46308,
BoA ATM,"Routes 140 & 126
Bellingham MA 02019",-71.47574,
BoA ATM,"710 Washington St
Canton MA 02021",-71.14564,
BoA ATM,"765 Chief Justice Cushing Hwy
Cohasset MA 02025",-70.80446,
BoA ATM,"19a Eastern Ave
Dedham MA 02026",-71.17266,
BoA ATM,"260 Bussey St
Dedham MA 02026",-71.15418,
BoA ATM,"300 Boston Providence Trnpk
Dedham MA 02026",-71.16901,
BoA ATM,"858 Washington St
Dedham MA 02026",-71.18335,
BoA ATM,"14 Springdale Ave
Dover MA 02030",-71.28209,
BoA ATM,"16 School St
Foxborough MA 02035",-71.2507,
BoA ATM,"27 Washington St
Foxboro MA 02035",-71.26077,
BoA ATM,"60 Washington St
Foxboro MA 02035",-71.26436,
BoA ATM,"273 East Central St
Franklin MA 02038",-71.38422,
BoA ATM,"435 West Central St Route 140
Franklin MA 02038",-71.41539,
BoA ATM,"49 Main St
Franklin MA 02038",-71.39806,
BoA ATM,"Route 140 West Central St
Franklin MA 02038",-71.42169,
BoA ATM,"100 Derby St
Hingham MA 02043",-70.91076,
BoA ATM,"1-3 Whitting St
Hingham MA 02043",-70.88582,
BoA ATM,"95 Sgt William B Terry Dr
Hingham MA 02043",-70.9215,
BoA ATM,"242 Chauncy St
Mansfield MA 02048",-71.22986,
BoA ATM,"355 North Main St
Mansfield MA 02048",-71.21849,
BoA ATM,"934 Plain St
Marshfield MA 02050",-70.75608,
BoA ATM,"Stratton & Snow Sts
Marshfield MA 02050",-70.70634,
BoA ATM,"478 Main St
Medfield MA 02052",-71.30528,
BoA ATM,"108 Main St
Medway MA 02053",-71.4158,
BoA ATM,"134 Nahatan St
Norwood MA 02062",-71.19609,
BoA ATM,"1415 Providence Hwy
Norwood MA 02062",-71.20001,
BoA ATM,"31 Providence Hwy
Norwood MA 02062",-71.18338,
BoA ATM,"434 Walpole St
Norwood MA 02062",-71.22045,
BoA ATM,"699 Washington St
Norwood MA 02062",-71.20208,
BoA ATM,"10 Front St
Scituate MA 02066",-70.72576,
BoA ATM,"15 Post Office Square
Sharon MA 02067",-71.17811,
BoA ATM,"1334 Park St
Stoughton MA 02072",-71.06714,
BoA ATM,"330 Washington St
Stoughton MA 02072",-71.10161,
BoA ATM,"666 Washington St
Stoughton MA 02072",-71.10172,
BoA ATM,"979 Main St
Walpole MA 02081",-71.25333,
BoA ATM,"693 High St
Westwood MA 02090",-71.22307,
BoA ATM,"100 Randall Rd
Wrentham MA 02093",-71.33084,
BoA ATM,"315 Washington St
Boston MA 02108",-71.05879,
BoA ATM,"45 Charles St
Boston MA 02108",-71.07003,
BoA ATM,"58 Winter St
Boston MA 02108",-71.06218,
BoA ATM,"6 Tremont St
Boston MA 02108",-71.05958,
